,index,Trade,JPM,JPM_stock,Order,Shares,cash,equity_value,port_value,market_impact,Symbol,prev_cash
0,2008-01-02,-1000.0,38.47,-1000,SELL,1000.0,1038470.0,-38470.0,1000000.0,0.0,JPM,1000000.0
1,2008-01-03,0.0,38.2,-1000,HOLD,0.0,1038470.0,-38200.0,1000270.0,0.0,JPM,1038470.0
2,2008-01-04,2000.0,37.33,1000,BUY,2000.0,963810.0,37330.0,1001140.0,0.0,JPM,1038470.0
3,2008-01-07,-2000.0,37.71,-1000,SELL,2000.0,1039230.0,-37710.0,1001520.0,0.0,JPM,963810.0
4,2008-01-08,2000.0,36.21,1000,BUY,2000.0,966810.0,36210.0,1003020.0,0.0,JPM,1039230.0
5,2008-01-09,0.0,36.72,1000,HOLD,0.0,966810.0,36720.0,1003530.0,0.0,JPM,966810.0
6,2008-01-10,-2000.0,37.7,-1000,SELL,2000.0,1042210.0,-37700.0,1004510.0,0.0,JPM,966810.0
7,2008-01-11,2000.0,37.27,1000,BUY,2000.0,967670.0,37270.0,1004940.0,0.0,JPM,1042210.0
8,2008-01-14,-2000.0,37.73,-1000,SELL,2000.0,1043130.0,-37730.0,1005400.0,0.0,JPM,967670.0
9,2008-01-15,2000.0,35.73,1000,BUY,2000.0,971670.0,35730.0,1007400.0,0.0,JPM,1043130.0
10,2008-01-16,-2000.0,37.79,-1000,SELL,2000.0,1047250.0,-37790.0,1009460.0,0.0,JPM,971670.0
11,2008-01-17,0.0,36.52,-1000,HOLD,0.0,1047250.0,-36520.0,1010730.0,0.0,JPM,1047250.0
12,2008-01-18,2000.0,36.11,1000,BUY,2000.0,975030.0,36110.0,1011140.0,0.0,JPM,1047250.0
13,2008-01-22,0.0,37.27,1000,HOLD,0.0,975030.0,37270.0,1012300.0,0.0,JPM,975030.0
14,2008-01-23,-2000.0,41.7,-1000,SELL,2000.0,1058430.0,-41700.0,1016730.0,0.0,JPM,975030.0
15,2008-01-24,0.0,41.01,-1000,HOLD,0.0,1058430.0,-41010.0,1017420.0,0.0,JPM,1058430.0
16,2008-01-25,2000.0,39.81,1000,BUY,2000.0,978810.0,39810.0,1018620.0,0.0,JPM,1058430.0
17,2008-01-28,0.0,41.57,1000,HOLD,0.0,978810.0,41570.0,1020380.0,0.0,JPM,978810.0
18,2008-01-29,-2000.0,43.28,-1000,SELL,2000.0,1065370.0,-43280.0,1022090.0,0.0,JPM,978810.0
19,2008-01-30,2000.0,43.19,1000,BUY,2000.0,978990.0,43190.0,1022180.0,0.0,JPM,1065370.0
20,2008-01-31,0.0,43.24,1000,HOLD,0.0,978990.0,43240.0,1022230.0,0.0,JPM,978990.0
21,2008-02-01,-2000.0,44.01,-1000,SELL,2000.0,1067010.0,-44010.0,1023000.0,0.0,JPM,978990.0
22,2008-02-04,0.0,42.16,-1000,HOLD,0.0,1067010.0,-42160.0,1024850.0,0.0,JPM,1067010.0
23,2008-02-05,0.0,40.03,-1000,HOLD,0.0,1067010.0,-40030.0,1026980.0,0.0,JPM,1067010.0
24,2008-02-06,2000.0,39.88,1000,BUY,2000.0,987250.0,39880.0,1027130.0,0.0,JPM,1067010.0
25,2008-02-07,-2000.0,41.15,-1000,SELL,2000.0,1069550.0,-41150.0,1028400.0,0.0,JPM,987250.0
26,2008-02-08,0.0,39.97,-1000,HOLD,0.0,1069550.0,-39970.0,1029580.0,0.0,JPM,1069550.0
27,2008-02-11,0.0,39.54,-1000,HOLD,0.0,1069550.0,-39540.0,1030010.0,0.0,JPM,1069550.0
28,2008-02-12,2000.0,39.51,1000,BUY,2000.0,990530.0,39510.0,1030040.0,0.0,JPM,1069550.0
29,2008-02-13,-2000.0,40.23,-1000,SELL,2000.0,1070990.0,-40230.0,1030760.0,0.0,JPM,990530.0
30,2008-02-14,2000.0,38.87,1000,BUY,2000.0,993250.0,38870.0,1032120.0,0.0,JPM,1070990.0
31,2008-02-15,-2000.0,39.45,-1000,SELL,2000.0,1072150.0,-39450.0,1032700.0,0.0,JPM,993250.0
32,2008-02-19,2000.0,39.07,1000,BUY,2000.0,994010.0,39070.0,1033080.0,0.0,JPM,1072150.0
33,2008-02-20,-2000.0,39.36,-1000,SELL,2000.0,1072730.0,-39360.0,1033370.0,0.0,JPM,994010.0
34,2008-02-21,2000.0,39.29,1000,BUY,2000.0,994150.0,39290.0,1033440.0,0.0,JPM,1072730.0
35,2008-02-22,0.0,40.07,1000,HOLD,0.0,994150.0,40070.0,1034220.0,0.0,JPM,994150.0
36,2008-02-25,-2000.0,40.16,-1000,SELL,2000.0,1074470.0,-40160.0,1034310.0,0.0,JPM,994150.0
37,2008-02-26,2000.0,39.88,1000,BUY,2000.0,994710.0,39880.0,1034590.0,0.0,JPM,1074470.0
38,2008-02-27,-2000.0,40.51,-1000,SELL,2000.0,1075730.0,-40510.0,1035220.0,0.0,JPM,994710.0
39,2008-02-28,0.0,38.71,-1000,HOLD,0.0,1075730.0,-38710.0,1037020.0,0.0,JPM,1075730.0
40,2008-02-29,0.0,37.08,-1000,HOLD,0.0,1075730.0,-37080.0,1038650.0,0.0,JPM,1075730.0
41,2008-03-03,0.0,36.32,-1000,HOLD,0.0,1075730.0,-36320.0,1039410.0,0.0,JPM,1075730.0
42,2008-03-04,0.0,35.75,-1000,HOLD,0.0,1075730.0,-35750.0,1039980.0,0.0,JPM,1075730.0
43,2008-03-05,0.0,35.34,-1000,HOLD,0.0,1075730.0,-35340.0,1040390.0,0.0,JPM,1075730.0
44,2008-03-06,2000.0,34.09,1000,BUY,2000.0,1007550.0,34090.0,1041640.0,0.0,JPM,1075730.0
45,2008-03-07,-2000.0,34.26,-1000,SELL,2000.0,1076070.0,-34260.0,1041810.0,0.0,JPM,1007550.0
46,2008-03-10,2000.0,33.28,1000,BUY,2000.0,1009510.0,33280.0,1042790.0,0.0,JPM,1076070.0
47,2008-03-11,-2000.0,35.43,-1000,SELL,2000.0,1080370.0,-35430.0,1044940.0,0.0,JPM,1009510.0
48,2008-03-12,0.0,35.22,-1000,HOLD,0.0,1080370.0,-35220.0,1045150.0,0.0,JPM,1080370.0
49,2008-03-13,0.0,34.76,-1000,HOLD,0.0,1080370.0,-34760.0,1045610.0,0.0,JPM,1080370.0
50,2008-03-14,2000.0,33.33,1000,BUY,2000.0,1013710.0,33330.0,1047040.0,0.0,JPM,1080370.0
51,2008-03-17,0.0,36.77,1000,HOLD,0.0,1013710.0,36770.0,1050480.0,0.0,JPM,1013710.0
52,2008-03-18,-2000.0,38.96,-1000,SELL,2000.0,1091630.0,-38960.0,1052670.0,0.0,JPM,1013710.0
53,2008-03-19,2000.0,38.74,1000,BUY,2000.0,1014150.0,38740.0,1052890.0,0.0,JPM,1091630.0
54,2008-03-20,0.0,41.93,1000,HOLD,0.0,1014150.0,41930.0,1056080.0,0.0,JPM,1014150.0
55,2008-03-24,-2000.0,42.46,-1000,SELL,2000.0,1099070.0,-42460.0,1056610.0,0.0,JPM,1014150.0
56,2008-03-25,0.0,42.01,-1000,HOLD,0.0,1099070.0,-42010.0,1057060.0,0.0,JPM,1099070.0
57,2008-03-26,0.0,40.24,-1000,HOLD,0.0,1099070.0,-40240.0,1058830.0,0.0,JPM,1099070.0
58,2008-03-27,0.0,39.1,-1000,HOLD,0.0,1099070.0,-39100.0,1059970.0,0.0,JPM,1099070.0
59,2008-03-28,2000.0,38.96,1000,BUY,2000.0,1021150.0,38960.0,1060110.0,0.0,JPM,1099070.0
60,2008-03-31,0.0,39.18,1000,HOLD,0.0,1021150.0,39180.0,1060330.0,0.0,JPM,1021150.0
61,2008-04-01,-2000.0,42.87,-1000,SELL,2000.0,1106890.0,-42870.0,1064020.0,0.0,JPM,1021150.0
62,2008-04-02,2000.0,42.52,1000,BUY,2000.0,1021850.0,42520.0,1064370.0,0.0,JPM,1106890.0
63,2008-04-03,-2000.0,42.56,-1000,SELL,2000.0,1106970.0,-42560.0,1064410.0,0.0,JPM,1021850.0
