,Symbol,Order,Shares,AAPL,IBM,GOOG,XOM,AAPL_stock,IBM_stock,GOOG_stock,XOM_stock,cash,equity_value,port_value,commissions,market_impact
2011-01-10,AAPL,BUY,1500.0,340.99,143.41,614.21,72.02,1500,0,0,0,485957.575,511485.0,997442.575,0.0,2557.425
2011-01-11,,,,340.18,143.06,616.01,72.56,1500,0,0,0,488515.0,510270.0,998785.0,0.0,0.0
2011-01-12,,,,342.95,144.82,616.87,73.41,1500,0,0,0,488515.0,514425.0,1002940.0,0.0,0.0
2011-01-13,AAPL,SELL,1500.0,344.2,144.55,616.69,73.54,0,0,0,0,1002233.5,0.0,1002233.5,0.0,2581.5
2011-01-13,IBM,BUY,4000.0,344.2,144.55,616.69,73.54,0,4000,0,0,423724.0,578200.0,1001924.0,0.0,2891.0000000000005
2011-01-14,,,,346.99,145.7,624.18,74.62,0,4000,0,0,426615.0,582800.0,1009415.0,0.0,0.0
2011-01-18,,,,339.19,146.33,639.63,75.45,0,4000,0,0,426615.0,585320.0,1011935.0,0.0,0.0
2011-01-19,,,,337.39,151.22,631.75,75.0,0,4000,0,0,426615.0,604880.0,1031495.0,0.0,0.0
2011-01-20,,,,331.26,151.33,626.77,74.53,0,4000,0,0,426615.0,605320.0,1031935.0,0.0,0.0
2011-01-21,,,,325.32,151.04,611.83,75.71,0,4000,0,0,426615.0,604160.0,1030775.0,0.0,0.0
2011-01-24,,,,336.01,155.05,611.08,75.34,0,4000,0,0,426615.0,620200.0,1046815.0,0.0,0.0
2011-01-25,,,,339.94,156.81,619.91,75.43,0,4000,0,0,426615.0,627240.0,1053855.0,0.0,0.0
2011-01-26,GOOG,BUY,1000.0,342.38,156.42,616.5,76.37,0,4000,1000,0,-192967.5,1242180.0,1049212.5,0.0,3082.5
2011-01-27,,,,341.74,156.45,616.79,76.58,0,4000,1000,0,-189885.0,1242590.0,1052705.0,0.0,0.0
2011-01-28,,,,334.66,154.64,600.99,75.72,0,4000,1000,0,-189885.0,1219550.0,1029665.0,0.0,0.0
2011-01-31,,,,337.87,157.35,600.36,77.34,0,4000,1000,0,-189885.0,1229760.0,1039875.0,0.0,0.0
2011-02-01,,,,343.55,158.87,611.04,80.44,0,4000,1000,0,-189885.0,1246520.0,1056635.0,0.0,0.0
2011-02-02,XOM,SELL,4000.0,342.85,158.62,612.0,79.96,0,4000,1000,-4000,128355.8,926640.0,1054995.8,0.0,1599.2
2011-02-03,,,,341.97,158.84,610.15,79.99,0,4000,1000,-4000,129955.0,925550.0,1055505.0,0.0,0.0
2011-02-04,,,,345.02,159.3,610.98,79.84,0,4000,1000,-4000,129955.0,928820.0,1058775.0,0.0,0.0
2011-02-07,,,,350.38,160.09,614.29,80.46,0,4000,1000,-4000,129955.0,932810.0,1062765.0,0.0,0.0
2011-02-08,,,,353.68,161.93,618.38,79.97,0,4000,1000,-4000,129955.0,946220.0,1076175.0,0.0,0.0
2011-02-09,,,,356.63,160.56,616.5,79.55,0,4000,1000,-4000,129955.0,940540.0,1070495.0,0.0,0.0
