,0
2008-01-02,1000000.0
2008-01-03,1000000.0
2008-01-04,1000000.0
2008-01-07,1000000.0
2008-01-08,1000000.0
2008-01-09,1000000.0
2008-01-10,1000000.0
2008-01-11,1000000.0
2008-01-14,1000000.0
2008-01-15,999811.4
2008-01-16,1001871.4
2008-01-17,1000601.4
2008-01-18,1000191.4
2008-01-22,1001351.4
2008-01-23,1005374.35
2008-01-24,1006064.35
2008-01-25,1007264.35
2008-01-28,1005504.35
2008-01-29,1003794.35
2008-01-30,1003884.35
2008-01-31,1003834.35
2008-02-01,1003064.35
2008-02-04,1004914.35
2008-02-05,1007044.35
2008-02-06,1006785.6
2008-02-07,1008055.6
2008-02-08,1006875.6
2008-02-11,1006445.6
2008-02-12,1006415.6
2008-02-13,1007135.6
2008-02-14,1005775.6
2008-02-15,1006355.6
2008-02-19,1005975.6
2008-02-20,1006265.6
2008-02-21,1006195.6
2008-02-22,1006975.6
2008-02-25,1007065.6
2008-02-26,1006785.6
2008-02-27,1007415.6
2008-02-28,1005615.6
2008-02-29,1003985.6
2008-03-03,1003225.6
2008-03-04,1002655.6
2008-03-05,1002245.6
2008-03-06,1000995.6
2008-03-07,1001165.6
2008-03-10,1000185.6
2008-03-11,1002335.6
2008-03-12,1002125.6
2008-03-13,1001665.6
2008-03-14,1000235.6
2008-03-17,1003675.6
2008-03-18,1005485.95
2008-03-19,1005705.95
2008-03-20,1002515.95
2008-03-24,1001985.95
2008-03-25,1002435.95
2008-03-26,1004205.95
2008-03-27,1005345.95
2008-03-28,1005485.95
2008-03-31,1005265.95
2008-04-01,1001575.95
2008-04-02,1001925.95
2008-04-03,1001885.95
2008-04-04,1002535.95
2008-04-07,1002565.95
2008-04-08,1003195.95
2008-04-09,1003705.95
2008-04-10,1004115.95
2008-04-11,1004934.8999999999
2008-04-14,1003984.8999999999
2008-04-15,1004554.8999999999
2008-04-16,1007164.8999999999
2008-04-17,1007314.8999999999
2008-04-18,1007904.8999999999
2008-04-21,1007414.8999999999
2008-04-22,1007804.8999999999
2008-04-23,1007344.8999999999
2008-04-24,1008592.95
2008-04-25,1007832.95
2008-04-28,1008252.95
2008-04-29,1008492.95
2008-04-30,1007962.95
2008-05-01,1006492.95
2008-05-02,1007032.95
2008-05-05,1007642.95
2008-05-06,1007462.95
2008-05-07,1008952.95
2008-05-08,1008999.5
2008-05-09,1009479.5
2008-05-12,1010089.5
2008-05-13,1008469.5
2008-05-14,1008869.5
2008-05-15,1009889.5
2008-05-16,1009439.5
2008-05-19,1008939.5
2008-05-20,1006839.5
2008-05-21,1005659.5
2008-05-22,1006239.5
2008-05-23,1005569.5
2008-05-27,1006199.5
2008-05-28,1006059.5
2008-05-29,1006719.5
2008-05-30,1006189.5
2008-06-02,1005409.5
2008-06-03,1005169.5
2008-06-04,1004929.5
2008-06-05,1005359.5
2008-06-06,1003519.5
2008-06-09,1001139.5
2008-06-10,1001859.5
2008-06-11,1000789.5
2008-06-12,1001599.5
2008-06-13,1003049.5
2008-06-16,1003379.5
2008-06-17,1002549.5
2008-06-18,1002279.5
2008-06-19,1002189.5
2008-06-20,1001469.5
2008-06-23,1000559.5
2008-06-24,1001339.5
2008-06-25,1001509.5
2008-06-26,1000049.5
2008-06-27,998879.5
2008-06-30,998199.5
2008-07-01,998279.5
2008-07-02,998819.5
2008-07-03,999479.5
2008-07-07,998299.5
2008-07-08,999909.5
2008-07-09,998529.5
2008-07-10,998739.5
2008-07-11,997489.5
2008-07-14,996119.5
2008-07-15,995499.5
2008-07-16,1000069.5
2008-07-17,1004220.05
2008-07-18,1004950.05
2008-07-21,1006220.05
2008-07-22,1004160.05
2008-07-23,1003140.05
2008-07-24,1005760.05
2008-07-25,1005410.05
2008-07-28,1007140.05
2008-07-29,1004270.05
2008-07-30,1003500.05
2008-07-31,1004380.05
2008-08-01,1004260.05
2008-08-04,1004830.05
2008-08-05,1003210.05
2008-08-06,1003670.05
2008-08-07,1005140.05
2008-08-08,1003970.05
2008-08-11,1003210.05
2008-08-12,1006900.05
2008-08-13,1007840.05
2008-08-14,1007000.05
2008-08-15,1006760.05
2008-08-18,1008000.05
2008-08-19,1009070.05
2008-08-20,1007750.05
2008-08-21,1008440.05
2008-08-22,1007130.05
2008-08-25,1008560.05
2008-08-26,1008120.05
2008-08-27,1007620.05
2008-08-28,1006010.05
2008-08-29,1006370.05
2008-09-02,1005900.05
2008-09-03,1005230.05
2008-09-04,1006910.05
2008-09-05,1005340.05
2008-09-08,1003520.05
2008-09-09,1005460.05
2008-09-10,1005520.05
2008-09-11,1003430.05
2008-09-12,1003880.05
2008-09-15,1007396.0
2008-09-16,1010866.0
2008-09-17,1006246.0
2008-09-18,1010456.0
2008-09-19,1016308.45
2008-09-22,1022118.45
2008-09-23,1022338.45
2008-09-24,1022398.45
2008-09-25,1019648.45
2008-09-26,1015198.45
2008-09-29,1021928.45
2008-09-30,1016628.45
2008-10-01,1013908.45
2008-10-02,1013348.45
2008-10-03,1017048.45
2008-10-06,1018828.45
2008-10-07,1022830.0
2008-10-08,1022810.0
2008-10-09,1020350.0
2008-10-10,1025000.0
2008-10-13,1025330.0
2008-10-14,1024130.0
2008-10-15,1022050.0
2008-10-16,1023920.0
2008-10-17,1022830.0
2008-10-20,1024080.0
2008-10-21,1023220.0
2008-10-22,1020810.0
2008-10-23,1021450.0
2008-10-24,1019180.0
2008-10-27,1017840.0
2008-10-28,1021210.0
2008-10-29,1019440.0
2008-10-30,1021230.0
2008-10-31,1024630.0
2008-11-03,1024150.0
2008-11-04,1025500.0
2008-11-05,1022730.0
2008-11-06,1021830.0
2008-11-07,1021350.0
2008-11-10,1020100.0
2008-11-11,1020040.0
2008-11-12,1018370.0
2008-11-13,1020830.0
2008-11-14,1018280.0
2008-11-17,1016690.0
2008-11-18,1016100.0
2008-11-19,1012660.0
2008-11-20,1007890.0
2008-11-21,1007270.0
2008-11-24,1011820.0
2008-11-25,1013880.0
2008-11-26,1014670.0
2008-11-28,1015650.0
2008-12-01,1010460.0
2008-12-02,1012710.0
2008-12-03,1014330.0
2008-12-04,1015100.0
2008-12-05,1016927.45
2008-12-08,1013987.45
2008-12-09,1016357.45
2008-12-10,1016767.45
2008-12-11,1020117.45
2008-12-12,1019187.45
2008-12-15,1021347.45
2008-12-16,1017867.45
2008-12-17,1018327.45
2008-12-18,1019867.45
2008-12-19,1019767.45
2008-12-22,1020237.45
2008-12-23,1020897.45
2008-12-24,1020207.45
2008-12-26,1020257.45
2008-12-29,1020267.45
2008-12-30,1019117.45
2008-12-31,1018627.45
2009-01-02,1018437.45
2009-01-05,1020437.45
2009-01-06,1019837.45
2009-01-07,1021261.1
2009-01-08,1020441.1
2009-01-09,1019251.1
2009-01-12,1018251.1
2009-01-13,1019611.1
2009-01-14,1019201.1
2009-01-15,1017711.1
2009-01-16,1016261.1
2009-01-20,1011781.1
2009-01-21,1016081.1
2009-01-22,1016531.1
2009-01-23,1017651.1
2009-01-26,1017861.1
2009-01-27,1018391.1
2009-01-28,1020861.1
2009-01-29,1018741.1
2009-01-30,1018821.1
2009-02-02,1018521.1
2009-02-03,1017431.1
2009-02-04,1017421.1
2009-02-05,1017901.1
2009-02-06,1020578.95
2009-02-09,1020908.95
2009-02-10,1023438.95
2009-02-11,1022038.95
2009-02-12,1021948.95
2009-02-13,1023368.95
2009-02-17,1026258.95
2009-02-18,1026388.95
2009-02-19,1027248.95
2009-02-20,1027908.95
2009-02-23,1028278.95
2009-02-24,1026848.95
2009-02-25,1026178.95
2009-02-26,1024928.95
2009-02-27,1025118.95
2009-03-02,1026718.95
2009-03-03,1026858.95
2009-03-04,1028478.95
2009-03-05,1031038.95
2009-03-06,1031678.95
2009-03-09,1031708.95
2009-03-10,1028288.95
2009-03-11,1027438.95
2009-03-12,1024778.95
2009-03-13,1024258.95
2009-03-16,1024888.95
2009-03-17,1022938.95
2009-03-18,1021078.95
2009-03-19,1023118.95
2009-03-20,1024828.95
2009-03-23,1019418.95
2009-03-24,1021748.95
2009-03-25,1019698.95
2009-03-26,1019188.95
2009-03-27,1020798.95
2009-03-30,1023218.95
2009-03-31,1021578.95
2009-04-01,1020098.95
2009-04-02,1020028.95
2009-04-03,1018968.95
